YKR101W	YDR227W
YDL089W	YPR028W
YDL012C	YOR355W
YPL174C	YMR235C
YPR028W	YLR324W
YKR014C	YGL198W
YPR129W	YOR167C
YER018C	YDR026C
YMR314W	YDL084W
YHL010C	YJR134C
YDR416W	YJR050W
YCL008C	YOL069W
YGL061C	YER016W
YFL008W	YFR031C
YHR111W	YGL180W
YJL025W	YLR423C
YGL210W	YOR326W
YDL018C	YGL025C
YFL046W	YAL028W
YNL219C	YIR033W
YBL007C	YKL074C
YMR109W	YDL019C
YCL032W	YOR290C
YOR344C	YGR238C
YHR061C	YNL031C
YMR109W	YKR069W
YDL160C	YOL149W
YKL108W	YHR115C
YDL031W	YDR060W
YHR061C	YNL030W
YPR175W	YNL299W
YLR291C	YGL252C
YOR206W	YOL041C
YKL179C	YBL075C
YLR432W	YML056C
YGL124C	YML001W
YOR258W	YLR243W
YPR168W	YCR084C
YJR072C	YOR262W
YLR113W	YLR248W
YGL133W	YOL069W
YDL239C	YNL225C
YJL092W	YMR201C
YDL056W	YKR031C
YDL031W	YPL043W
YBL032W	YMR077C
YPL239W	YKL143W
YDR446W	YOR156C
YFL023W	YDR475C
YGR268C	YDR330W
YER118C	YIL144W
YIL061C	YER105C
YOR344C	YDR259C
YHR069C	YOR001W
YAL047C	YPL055C
YPR117W	YKL138C-A
YLR314C	YEL003W
YPR159C-A	YAR027W
YCR084C	YPL242C
YPL008W	YLL004W
YGR241C	YDL072C
YGL093W	YKR054C
YLR191W	YER086W
YPR154W	YKL150W
YJR076C	YPL018W
YBR280C	YNL141W
YNL304W	YER136W
YNL263C	YGL198W
YBL046W	YDR075W
YOR308C	YGL035C
YFL046W	YER093C
YJL110C	YBR152W
YGL181W	YHR177W
YIL021W	YOL005C
YHR016C	YGL190C
YLR116W	YPL105C
YHR011W	YPL074W
YER172C	YER161C
YMR109W	YGR223C
YKL049C	YOR073W
YCL008C	YCR084C
YHR016C	YGL060W
YDR143C	YGL221C
YNL314W	YIR023W
YFR002W	YGR059W
YKL049C	YBR009C
YML035C	YJL070C
YPL032C	YPR018W
YLL039C	YDL190C
YDR332W	YKR054C
YKL079W	YPR049C
YJL049W	YGL212W
YJL020C	YMR162C
YML035C	YBR284W
YBL103C	YAR018C
YPL105C	YDR429C
YJR112W	YOL034W
YKR039W	YPR113W
YHR204W	YER126C
YKL172W	YFR001W
