YLR206W	YGL122C
YGL171W	YDR021W
YGR240C	YFR024C-A
YJR062C	YBR034C
YBR273C	YPL240C
YKL099C	YDL153C
YKL181W	YHL011C
YLR082C	YBR004C
YOL034W	YDL105W
YER112W	YKL209C
YDR028C	YER133W
YPL020C	YMR071C
YDR275W	YBR034C
YAR027W	YOL129W
YLR092W	YMR022W
YJR062C	YMR022W
YLR310C	YLR019W
YGR143W	YHR122W
YPR144C	YER127W
YGL019W	YIL035C
YCL027W	YDR103W
YPL121C	YMR022W
YBR196C	YGL229C
YGL026C	YER180C
YDR330W	YDL126C
YGR241C	YGL181W
YDL239C	YLR424W
YKL071W	YPL157W
YJL016W	YDR229W
YDL146W	YFR024C-A
YGL238W	YFR024C-A
YLR454W	YMR065W
YDL065C	YDR329C
YEL048C	YMR218C
YBR205W	YIR038C
YPL049C	YBR261C
YIR017C	YNL182C
YDL159W	YGR040W
YNL086W	YJL036W
YBR137W	YDR531W
YJL033W	YDR365C
YMR109W	YDL028C
YKL092C	YCL027W
YBR205W	YBL007C
YPR011C	YER095W
YNL142W	YMR022W
YGL028C	YDR482C
YJL030W	YIL122W
YHR083W	YMR022W
YNL047C	YIL105C
YHR058C	YER022W
YKR081C	YCL054W
YDL239C	YLR423C
YKL189W	YOR353C
YMR124W	YDL239C
YOR069W	YOR181W
YNL227C	YBR267W
YLR167W	YER162C
YBR188C	YDR416W
YJL076W	YPL240C
YIL046W	YBR217W
YFR050C	YNL124W
YBL007C	YMR313C
YNL086W	YGR120C
YMR109W	YAL016W
YHR006W	YMR022W
YOR156C	YHR156C
YLR015W	YMR022W
YNL189W	YFL039C
YLR273C	YNR034W
YOR284W	YCR088W
YLR197W	YLR424W
YHR088W	YOR206W
YOR057W	YDR328C
YMR277W	YPL240C
YPR024W	YMR022W
YER146W	YDR110W
YKL142W	YNL210W
YGL247W	YCR106W
YIR032C	YHR122W
YOR388C	YMR022W
YLR098C	YAR014C
YIL079C	YBR233W
YKR083C	YGR113W
YDR321W	YML023C
YNR021W	YNL124W
YGL172W	YDL088C
YDR051C	YDL101C
YJL074C	YDL074C
YBR016W	YKL059C
YOL064C	YBR058C
YIR017C	YFL008W
YPL017C	YPL063W
YJL050W	YOL133W
YGL228W	YNL124W
YHR113W	YNL222W
YDR135C	YJR022W
YPR141C	YJR112W
YDL239C	YKL103C
YHR034C	YPL156C
YDL181W	YDR318W
YKL018W	YER133W
YDL240W	YAR014C
YKR034W	YLR132C
YJL124C	YBL026W
YOR252W	YKL172W
YPL094C	YJR075W
YIL095W	YHR161C
YDL153C	YHR148W
YDR046C	YJR013W
YOR245C	YBL050W
YPL070W	YDR256C
YBL032W	YFR003C
YNL227C	YEL048C
YLR364W	YBR034C
YDR174W	YOR144C
YFR050C	YNL253W
YDL153C	YLR336C
YGR120C	YPR191W
YPL217C	YDR449C
YER038C	YML023C
YLR291C	YML106W
YER047C	YDR228C
YGL180W	YPR185W
YGL095C	YGR046W
YBL081W	YJR013W
YDL134C	YMR028W
YFL010C	YML051W
YDL131W	YPL240C
YKL040C	YBR200W
YML078W	YMR022W
YOL052C-A	YNL012W
YLR026C	YDR189W
YOR047C	YHR158C
YDR385W	YLR340W
YDR082W	YLR010C
YPR180W	YGL241W
